tree_id,x,y,species,dbh_cm,height_m,crown_diameter_m,status
T0068,612526.7,6642033.16,FASY,41.4,23.81,5.53,live
T0069,612513.37,6642039.5,PIAB,42.5,25.68,6.5,live
T0070,612522.33,6642047.29,PIAB,30.0,24.12,6.41,live
T0071,612516.29,6642009.42,PIAB,35.1,25.15,6.06,live
T0072,612542.38,6642008.12,FASY,46.0,27.99,7.34,live
T0073,612500.42,6642030.67,PIAB,21.2,21.26,5.42,live
T0074,612506.13,6642006.0,FASY,15.8,15.83,4.2,live
T0075,612534.73,6642004.18,FASY,34.0,22.99,6.1,live
T0076,612524.84,6642043.78,FASY,36.7,24.11,6.23,live
T0077,612517.75,6642035.03,PIAB,27.3,22.94,6.35,live
T0078,612537.89,6642013.97,FASY,25.4,20.54,4.87,live
T0079,612524.51,6642001.14,PIAB,34.0,24.41,5.66,live
T0080,612540.87,6642030.26,PIAB,26.3,22.32,5.08,live
T0081,612516.71,6642023.97,FASY,23.9,20.66,5.78,live
T0082,612526.66,6642022.49,FASY,24.7,19.86,5.31,live
T0083,612522.2,6642032.96,PIAB,35.3,23.45,5.24,live
T0084,612539.7,6642023.56,PIAB,29.4,23.82,5.23,live
T0085,612549.82,6642006.51,PIAB,29.6,24.13,6.26,live
